District   Sex Ratio_2Sex Ratio_2Sex Ratio_2Sex Ratio_2Sex Ratio_2Sex Ratio_2Decadal Cha
Chikkodi   941        948        943        955        980        961        1.91       
Athani     947        967        949        953        990        958        0.95       
Raibag     946        923        944        957        961        958        1.48       
Gokak      972        976        964        988        989        991        2.8        
Hukkeri    970        951        967        991        992        991        2.48       
Belagavi   969        936        948        968        967        967        2          
Khanapur   995        959        992        975        993        976        -1.61      
Savadatti  967        968        967        971        1002       974        0.72       
Bailhongal 965        977        967        978        1005       983        1.65       
Ramadurg   971        981        973        970        1006       975        0.21       
Kitthuru   994        954        981        968        986        973        -0.82      
Nippani    955        978        962        998        973        968        0.62       
Kagavada   952        949        951        951        971        958        0.74       
Mudalagi   975        972        974        988        989        982        0.82       
Jamakhandi 961        983        967        977        1031       991        2.48       
Bilagi     994        982        992        997        1021       1000       0.81       
Mudhol     982        973        980        1001       1003       1002       2.24       
Badami     996        969        991        979        990        981        -1.01      
Bagalkote  995        944        976        994        985        990        1.43       
Hungund    991        973        989        989        975        984        -0.51      
Guledagudda1002       1002       1002       985        1007       993        -0.9       
Ilkal      991        977        986        983        998        989        0.3        
Rabakavi Ba960        970        965        973        979        976        1.14       
Bijapur    934        947        943        937        982        968        2.65       
Indi       928        937        929        931        957        934        0.54       
Sindagi    948        951        949        939        972        944        -0.53      
Basavan Bag964        962        963        969        983        972        0.93       
Muddebihal 988        958        983        985        991        986        0.31       
Nidagundi  963        0          963        975        0          975        1.25       
Babaleshwar962        0          962        978        0          978        1.66       
Chadachana 925        0          925        938        0          938        1.41       
Talikote   977        971        976        986        988        986        1.02       
Tikota     934        0          934        933        0          933        -0.11      
Kolhara    947        0          947        965        0          965        1.9        
Devara Hipp958        0          958        962        0          962        0.42       
Aland      955        929        917        945        936        943        2.84       
Afzalpur   949        916        940        950        950        948        0.85       
Gulbarga   962        924        918        958        964        962        4.79       
Chincholi  980        823        932        996        926        990        6.22       
Sedam      1021       957        964        1019       990        1012       4.98       
Chittapur  983        940        938        998        995        997        6.29       
Jevargi    968        950        934        966        979        967        3.53       
Kalagi     983        940        938        1013       990        1011       7.78       
Kamalapura 962        924        918        959        954        959        4.47       
Yadrami    968        950        934        955        955        949        1.61       
Shahbadha  983        940        938        998        1002       999        6.5        
Basavakalya970        923        960        965        930        956        -0.42      
Bhalki     958        880        947        961        945        959        1.27       
Aurad      952        932        950        956        973        958        0.84       
Bidar      951        922        938        958        938        949        1.17       
Humnabad   951        947        950        959        951        957        0.74       
Chittaguppa0          0          0          970        960        968        0          
Kamalanagar0          0          0          957        925        953        0          
Hulasuru   0          0          0          975        0          975        0          
Lingasugur 981        952        974        985        979        983        0.92       
Devdurga   986        944        982        1005       978        1002       2.04       
Raichur    989        959        973        1008       989        998        2.57       
Manvi      994        973        992        1020       984        1015       2.32       
Sindhanur  1008       955        998        1008       994        1005       0.7        
Maski      0          0          0          993        998        994        0          
Sirivara   0          0          0          1011       1017       1012       0          
Yelburga   981        975        980        977        977        977        -0.31      
Kushtagi   986        968        977        973        991        975        -0.2       
Gangavathi 1001       980        991        1010       1003       1007       1.61       
Koppal     978        959        974        974        997        979        0.51       
Karatagi   989        0          989        1016       988        1009       2.02       
Kukanuru   984        0          984        980        987        981        -0.3       
Kanakagiri 981        0          981        986        977        985        0.41       
Naragund   958        963        960        954        977        962        0.21       
Rona       988        1005       990        990        1030       996        0.61       
Gadag      964        967        966        973        1005       990        2.48       
Shirahatti 962        959        961        956        997        964        0.31       
Mundargi   963        933        957        969        991        973        1.67       
Gajendragad990        971        982        982        995        988        0.61       
Laxmeshwar 963        971        966        962        1000       975        0.93       
Dharwad    950        963        951        946        992        973        2.31       
Navalgund  952        963        955        945        974        951        -0.42      
Hubli      945        0          945        957        0          957        1.27       
Kalgatgi   933        961        936        934        984        940        0.43       
Kundgol    945        947        945        948        987        952        0.74       
Hubballi Na0          950        950        0          987        987        3.89       
Alnavara   976        963        968        960        984        972        0.41       
Annigeri   974        967        965        969        995        979        1.45       
Karwar     989        947        968        976        990        984        1.65       
Joida      989        0          989        988        0          988        -0.1       
Haliyal    964        975        967        963        986        969        0.21       
Yellapur   945        978        953        969        995        976        2.41       
Mundgod    835        942        853        871        763        847        -0.7       
Sirsi      963        972        966        979        1014       990        2.48       
Ankola     971        990        976        979        1014       989        1.33       
Kumta      974        978        975        980        1004       985        1.03       
Siddapur   974        970        974        1019       1014       1018       4.52       
Honnavar   1007       979        1004       997        1006       998        -0.6       
Bhatkal    1033       1006       1025       1012       976        1001       -2.34      
Dandelli   938        956        954        975        987        985        3.25       
Shiggaon   938        932        936        940        949        943        0.75       
Savanur    934        940        935        938        955        943        0.86       
Hangal     953        954        953        954        968        956        0.31       
Haveri     932        953        938        941        980        952        1.49       
Byadagi    943        955        945        947        984        955        1.06       
Hirekerur  957        959        958        954        965        956        -0.21      
Ranebennur 940        948        942        940        965        949        0.74       
Ratteehalli949        933        947        951        948        950        0.32       
Hadagali   977        972        977        972        993        975        -0.2       
Hagaribomma982        970        980        969        999        975        -0.51      
Hospet     985        966        972        988        1011       1004       3.29       
Siraguppa  1002       991        999        1005       1003       1005       0.6        
Ballari    971        946        955        982        986        985        3.14       
Sonduru    951        912        945        955        898        941        -0.42      
Kudligi    956        974        958        959        987        962        0.42       
Kurugodu   989        972        986        1002       999        1001       1.52       
Kotturu    964        921        953        952        993        963        1.05       
Kampli     993        988        991        1011       1018       1013       2.22       
Harapanahal961        915        953        955        969        957        0.42       
Molakalmuru947        924        944        958        986        961        1.8        
Challakere 954        949        953        962        1001       967        1.47       
Chitradurga944        952        947        964        996        976        3.06       
Holalkere  965        920        962        971        997        974        1.25       
Hosadurga  975        937        971        976        951        973        0.21       
Hiriyur    959        956        958        980        1006       985        2.82       
Harihar    946        950        948        965        966        965        1.79       
Jagaluru   968        911        963        974        985        975        1.25       
Davanagere 956        939        946        976        978        978        3.38       
Honnali    959        977        960        970        1017       974        1.46       
Channagiri 954        934        953        979        963        977        2.52       
Nyamati    0          0          0          914        0          0          0          
Sagara     991        990        991        1019       1014       1017       2.62       
Soraba     969        949        969        984        1073       986        1.75       
Shikaripura972        970        971        973        993        977        0.62       
Hosanagar  1005       967        1004       1019       1057       1021       1.69       
Thirthahall1031       973        1025       1030       1048       1032       0.68       
Shimoga    970        957        962        981        991        987        2.6        
Bhadravathi969        975        972        990        1014       1001       2.98       
Kundapur   1169       1054       1155       1138       1062       1126       -2.51      
Udupi      1092       1031       1058       1078       1030       1040       -1.7       
Karkala    1160       980        1131       1103       1054       1094       -3.27      
Bynduru    1182       0          1182       1122       0          1122       -5.08      
Bramhavara 1130       1142       1131       1100       1079       1096       -3.09      
Kapu       1178       1117       1173       1139       1085       1125       -4.09      
Hebri      1105       0          1105       1064       0          1064       -3.71      
Sringeri   1003       909        992        1033       975        1027       3.53       
Koppa      995        976        994        1033       1031       1033       3.92       
Narasimhara1022       973        1016       1042       996        1037       2.07       
Tarikere   979        969        977        1002       1005       1003       2.66       
Kadur      980        973        978        990        1007       993        1.53       
Chikmagalur994        959        982        1006       1017       1010       2.85       
Mudigere   1008       916        996        1033       1007       1031       3.51       
Ajjampura  976        949        973        977        988        979        0.62       
Chiknayakan984        997        986        1022       1005       1009       2.33       
Sira       965        937        961        980        972        974        1.35       
Pavagada   958        947        958        992        981        982        2.51       
Madhugiri  967        941        965        999        987        989        2.49       
