Sl. No. States/UTFR     MCPR (%)
India   India          2    56.5
       1Bihar          3    44.4
       2Meghalay     2.9    22.5
       3Uttar Pr     2.4    44.5
       4Jharkhan     2.3    49.5
       5Manipur      2.2    18.2
       6Madhya P       2    65.5
       7Rajastha       2    62.1
       8Assam        1.9    45.3
       9Gujarat      1.9    53.6
      10Haryana      1.9    60.5
      11Mizoram      1.9    30.8
      12Uttarakh     1.9    57.8
      13Arunacha     1.8    47.2
      14Chhattis     1.8    61.7
      15Dadra an     1.8    59.8
      16Kerala       1.8    52.8
      17Odisha       1.8    48.8
      18Tamil Na     1.8    65.5
      19Telangan     1.8    66.7
      20Andhra P     1.7    70.8
      21Himachal     1.7    63.4
      22Karnatak     1.7    68.2
      23Maharash     1.7    63.8
      24Nagaland     1.7    45.3
      25Tripura      1.7    49.1
      26Delhi        1.6    57.7
      27Punjab       1.6    50.5
      28West Ben     1.6    60.7
      29Puducher     1.5    62.1
      30Chandiga     1.4    55.6
      31Jammu an     1.4    52.5
      32Lakshadw     1.4    30.1
      33Andaman      1.3    57.7
      34Goa          1.3    60.1
      35Ladakh       1.3      48
      36Sikkim       1.1    54.9
