Series Name,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Age dependency ratio (% of working-age population),78.1963185263407,79.2466190568615,80.3615159024236,81.5177912967037,82.2853750137233,82.5509385087176,82.623126636811,82.5030296249276,82.3426324478197,82.2116927473581,81.8831795123665,81.5721664288433,81.3068188425448,80.9986462457341,80.6676964293863,80.2142744665989,79.736917591325,79.2201937493938,78.708214458787,78.2074598737802,77.7617081261085,77.4442996803025,77.1464292145873,76.8314430501224,76.5377223359011,76.2649733062572,75.9796715196638,75.6478119789457,75.2337643196994,74.7462897436702,74.2102460090207,73.6394717785432,73.0414337152497,72.42005748992,71.767235521839,71.0333210055779,70.2088855735137,69.3432839707025,68.4423001360828,67.5027186489675,66.5658129376285,65.6393614041737,64.7352214074379,63.8360537864219,62.8827039448926,61.9081709086155,60.9024728456723,59.8780645451957,58.8878284434793,57.9164697840483,56.9435299366504,55.9876762675338,55.060078071414,54.1378376565175,53.2421090234343,52.3977058192572,51.5768937298059,50.7672033452389,50.0307900245271,49.3781313856783,48.725925362152,48.0405766189907,47.4637059570602,47.0132181120622,46.5639973059355,46.1386620179175
"Age dependency ratio, old",5.8787900417636,5.98419514811402,6.12345020224113,6.27725205825901,6.40286142367976,6.48418587694977,6.53562931904358,6.55990479424957,6.58109356088875,6.61964391582099,6.6586133025737,6.70878849363388,6.77269192047468,6.83702936937455,6.89319068022303,6.93362087767935,6.96545373847543,6.98587535023706,7.00130954205567,7.01144827950541,7.01692563703238,7.02519342729497,7.03204089817693,7.0348233388435,7.0344962794722,7.03335114603597,7.03144604297949,7.02919279075356,7.02756211021025,7.02843707248025,7.03438410238117,7.04700873664111,7.06598462895876,7.09074538359737,7.12179466659357,7.15528029406372,7.18924839258131,7.22585103450818,7.26470724610156,7.30518025880582,7.34653079538106,7.38964284086494,7.43989763750713,7.49282370529032,7.53499082137635,7.56868087880033,7.59765244485906,7.626189156999,7.66169656295134,7.70331417311134,7.7537122163073,7.8187352403354,7.89781181625837,7.98839036172002,8.13279560233489,8.33495531190129,8.5515603801864,8.78174521944322,9.03074254846896,9.2965077293909,9.54352404153678,9.69042628572764,9.87859325809253,10.1760245971185,10.4742211819038,10.780022881367
"Age dependency ratio, young",72.3175284845771,73.2624239087475,74.2380657001824,75.2405392384447,75.8825135900436,76.0667526317678,76.0874973177674,75.943124830678,75.7615388869309,75.5920488315371,75.2245662097928,74.8633779352094,74.5341269220702,74.1616168763596,73.7745057491632,73.2806535889195,72.7714638528495,72.2343183991567,71.7069049167313,71.1960115942748,70.7447824890761,70.4191062530075,70.1143883164103,69.796619711279,69.5032260564289,69.2316221602212,68.9482254766843,68.6186191881921,68.2062022094891,67.7178526711899,67.1758619066396,66.5924630419021,65.9754490862909,65.3293121063226,64.6454408552454,63.8780407115142,63.0196371809324,62.1174329361943,61.1775928899812,60.1975383901616,59.2192821422475,58.2497185633088,57.2953237699307,56.3432300811316,55.3477131235162,54.3394900298151,53.3048204008132,52.2518753881967,51.226131880528,50.2131556109369,49.1898177203431,48.1689410271984,47.1622662551556,46.1494472947975,45.1093134210994,44.0627505073559,43.0253333496195,41.9854581257956,41.0000474760581,40.0816236562874,39.1824013206153,38.3501503332631,37.5851126989677,36.8371935149437,36.0897761240317,35.3586391365505
"Age population, age 00, female",8075290.5,8244685,8410363,8578810.5,8748654.5,8871704,8960111.5,9073357.5,9219821.5,9358012,9488938,9669211,9851904,10029261.5,10213002,10340121,10491106.5,10638058,10744739.5,10928968,11186459,11424276,11610428,11805837.5,12026266.5,12211626.5,12399608,12528025,12590341,12685757,12737308,12773401,12817152,12833977,12860396.5,12900907.5,12930194.5,12958074.5,12992267,13038526,13144438,13291233.5,13325323,13218862,13090887.5,12934696.5,12746786.5,12590477,12498370,12494517.5,12444072.5,12338100.5,12257344.5,12127548,11829041.5,11649138,11710263.5,11580406.5,11468813.5,11412459.5,11173719.5,11012379,10983696.5,10979586.5,10975067,10957377.5
"Age population, age 00, male",8456101.5,8634857,8807677,8983681.5,9161289.5,9289964.5,9384084.5,9504858,9660683.5,9809916.5,9952811.5,10148336,10348786.5,10543371.5,10750037.5,10904282,11087884,11265276.5,11393727.5,11607126,11910352.5,12193488,12401647,12611054,12851690.5,13051006,13250552.5,13397467,13470691.5,13558747.5,13614962,13692142.5,13782031.5,13841940,13924977.5,14028639.5,14095371.5,14139145,14190226.5,14243078,14359355,14507547.5,14517921.5,14404783.5,14288404.5,14126420.5,13917541,13744933.5,13650874,13656565,13614870.5,13500135.5,13391524.5,13227546,12893298,12693702.5,12745276,12580258.5,12432193,12345327.5,12061998.5,11862038.5,11807268.5,11779435.5,11749953.5,11706672.5
"Age population, age 01, female",7270326.5,7419075.5,7584231,7746757.5,7912349,8057857.5,8160330,8253549.5,8388879.5,8554847,8697790,8830715,9008106,9190871.5,9373027,9563135.5,9697047.5,9854697.5,10007979,10126373.5,10318949.5,10578501,10821215.5,11015850,11218958,11445243,11638037.5,11833485,11972309,12048255,12156006,12220125.5,12269463,12326759,12356176.5,12396186,12451160.5,12494417.5,12536256.5,12583906.5,12643394,12761370.5,12917390.5,12968494.5,12889388.5,12785347.5,12653374,12488959,12352226.5,12282255,12298938,12265648.5,12175827,12110285,11994761,11709386.5,11542713,11613980,11491040,11385112,11337320,11107942.5,10948228.5,10922141.5,10920909.5,10918201
"Age population, age 01, male",7660325,7819722,7993185,8161499.5,8332970,8483920.5,8589635,8686424,8827579,9001373.5,9153423,9296933,9488987.5,9689711,9890341,10105117,10268073,10460433.5,10646493.5,10789126.5,11012900,11319330.5,11607972,11825700.5,12044034,12291400,12498954.5,12706695.5,12863986.5,12950613.5,13051464.5,13119990,13208794.5,13310528.5,13381402,13476094,13595494.5,13682567.5,13748183,13820228,13893766,14029296.5,14193578.5,14222743,14133068.5,14036289.5,13894405.5,13705075,13548239.5,13472670.5,13495545,13467581.5,13365672.5,13269398.5,13116935,12792944,12604192,12664265.5,12504580.5,12360819.5,12281401.5,12006269.5,11806934,11753962,11728677.5,11700261.5
"Age population, age 02, female",6821229,6944433,7094234,7260329,7424338.5,7576941,7710317.5,7817795,7928967,8080329.5,8251800.5,8398212,8533897,8714996.5,8903981,9093825.5,9288769.5,9429894,9593396.5,9754667.5,9882514,10080399.5,10344851.5,10593342.5,10794377.5,11003035.5,11234197.5,11432406,11633444,11778882,11862551.5,11976104,12046663.5,12103114,12165643,12201663.5,12249167.5,12310516.5,12360045,12407697.5,12461060.5,12526431.5,12647920,12807316.5,12865285.5,12791509.5,12693488,12567362,12407041.5,12278052.5,12215921,12237151.5,12207791,12122484,12060805,11947751,11667359.5,11505207,11576785,11454306,11352198.5,11308209.5,11077318,10917660.5,10892120.5,10890751
"Age population, age 02, male",7246369,7378202,7537555,7710785,7879273.5,8036215.5,8173371.5,8282314.5,8395329.5,8551045.5,8728932.5,8883272,9028780,9224401,9431656.5,9640661.5,9861137.5,10031906.5,10230692.5,10425128,10577323,10806442.5,11117512,11411401.5,11635079.5,11858617,12110458.5,12322940.5,12535762.5,12698834,12792209.5,12898208,12972283,13066908,13172600.5,13248832,13349731,13474234,13566530,13637133.5,13714110,13792863.5,13931333,14098552.5,14134137.5,14049018.5,13957326.5,13820419,13634321,13484389.5,13415841.5,13442491,13417646.5,13319470,13226413.5,13075813,12756157.5,12571398,12631442.5,12471875,12331650.5,12255803.5,11978868.5,11779349,11727055,11701818
"Age population, age 03, female",6529497,6660958.5,6784506.5,6934377.5,7100434,7256975.5,7402163.5,7536529.5,7651414,7769502.5,7923566,8094986.5,8241321,8379133.5,8562863,8755461.5,8947098,9144402,9288096.5,9455550,9621272,9752154.5,9953098,10220311.5,10471568.5,10675548.5,10887006.5,11120843,11322374.5,11526946.5,11676559,11763872,11880867,11955640,12014939.5,12081131.5,12121883,12173285.5,12238270,12291121.5,12342092,12399016.5,12466298.5,12589598,12752942.5,12813192,12742689,12647810,12523308,12368019.5,12244401,12185074,12208230,12181299,12098132.5,12037243.5,11926860.5,11649445.5,11487247.5,11558162,11438218,11338818.5,11292619.5,11061228,10901518.5,10875300
