State,District,District_Name,Total_Pop,Male_Pop,Female_Pop,Literate_Pop,M_LIT_Total,F_LIT_Total,P_ILL_Total,M_ILL_Total,F_ILL_Total,Rural_Pop,TOT_M_Rural,TOT_F_Rural,P_LIT_Rural,M_LIT_Rural,F_LIT_Rural,P_ILL_Rural,M_ILL_Rural,F_ILL_Rural,Urban_Pop,TOT_M_Urban,TOT_F_Urban,P_LIT_Urban,M_LIT_Urban,F_LIT_Urban,P_ILL_Urban,M_ILL_Urban,F_ILL_Urban,State_Code,Literacy_Rate,Literacy_Rate_Rural,Literacy_Rate_Urban,Literacy_Gap,Urban_Pct,Rural_Pct,Sex_Ratio,District_str,pc11_d_id
JAMMU & KASHMIR,1,Kupwara,870354.0,474190.0,396164.0,439654.0,282823.0,156831.0,430700.0,191367.0,239333.0,765625.0,412038.0,353587.0,374998.0,238785.0,136213.0,390627.0,173253.0,217374.0,104729.0,62152.0,42577.0,64656.0,44038.0,20618.0,40073.0,18114.0,21959.0,1,50.51,48.98,61.74,12.76,12.03,87.97,835.5,1,001
JAMMU & KASHMIR,2,Badgam,753745.0,398041.0,355704.0,335649.0,207741.0,127908.0,418096.0,190300.0,227796.0,655833.0,343385.0,312448.0,278265.0,170641.0,107624.0,377568.0,172744.0,204824.0,97912.0,54656.0,43256.0,57384.0,37100.0,20284.0,40528.0,17556.0,22972.0,1,44.53,42.43,58.61,16.18,12.99,87.01,893.6,2,002
JAMMU & KASHMIR,3,Leh(Ladakh),133487.0,78971.0,54516.0,93770.0,62834.0,30936.0,39717.0,16137.0,23580.0,87816.0,48411.0,39405.0,56789.0,36062.0,20727.0,31027.0,12349.0,18678.0,45671.0,30560.0,15111.0,36981.0,26772.0,10209.0,8690.0,3788.0,4902.0,1,70.25,64.67,80.97,16.3,34.21,65.79,690.3,3,003
JAMMU & KASHMIR,4,Kargil,140802.0,77785.0,63017.0,86236.0,56301.0,29935.0,54566.0,21484.0,33082.0,124464.0,67703.0,56761.0,73896.0,47674.0,26222.0,50568.0,20029.0,30539.0,16338.0,10082.0,6256.0,12340.0,8627.0,3713.0,3998.0,1455.0,2543.0,1,61.25,59.37,75.53,16.16,11.6,88.4,810.1,4,004
JAMMU & KASHMIR,5,Punch,476835.0,251899.0,224936.0,261724.0,163333.0,98391.0,215111.0,88566.0,126545.0,438205.0,229774.0,208431.0,231541.0,144716.0,86825.0,206664.0,85058.0,121606.0,38630.0,22125.0,16505.0,30183.0,18617.0,11566.0,8447.0,3508.0,4939.0,1,54.89,52.84,78.13,25.29,8.1,91.9,893.0,5,005
JAMMU & KASHMIR,6,Rajouri,642415.0,345351.0,297064.0,364109.0,224469.0,139640.0,278306.0,120882.0,157424.0,590101.0,310748.0,279353.0,321210.0,194113.0,127097.0,268891.0,116635.0,152256.0,52314.0,34603.0,17711.0,42899.0,30356.0,12543.0,9415.0,4247.0,5168.0,1,56.68,54.43,82.0,27.57,8.14,91.86,860.2,6,006
JAMMU & KASHMIR,7,Kathua,616435.0,326109.0,290326.0,389204.0,228499.0,160705.0,227231.0,97610.0,129621.0,526722.0,278126.0,248596.0,320364.0,189875.0,130489.0,206358.0,88251.0,118107.0,89713.0,47983.0,41730.0,68840.0,38624.0,30216.0,20873.0,9359.0,11514.0,1,63.14,60.82,76.73,15.91,14.55,85.45,890.3,7,007
JAMMU & KASHMIR,8,Baramula,1008039.0,534733.0,473306.0,545149.0,337170.0,207979.0,462890.0,197563.0,265327.0,825539.0,432399.0,393140.0,423193.0,260880.0,162313.0,402346.0,171519.0,230827.0,182500.0,102334.0,80166.0,121956.0,76290.0,45666.0,60544.0,26044.0,34500.0,1,54.08,51.26,66.83,15.57,18.1,81.9,885.1,8,008
JAMMU & KASHMIR,9,Bandipore,392232.0,207680.0,184552.0,185979.0,117058.0,68921.0,206253.0,90622.0,115631.0,326871.0,172263.0,154608.0,148187.0,93233.0,54954.0,178684.0,79030.0,99654.0,65361.0,35417.0,29944.0,37792.0,23825.0,13967.0,27569.0,11592.0,15977.0,1,47.42,45.34,57.82,12.48,16.66,83.34,888.6,9,009
JAMMU & KASHMIR,10,Srinagar,1236829.0,651124.0,585705.0,748584.0,431746.0,316838.0,488245.0,219378.0,268867.0,17313.0,8916.0,8397.0,7928.0,4812.0,3116.0,9385.0,4104.0,5281.0,1219516.0,642208.0,577308.0,740656.0,426934.0,313722.0,478860.0,215274.0,263586.0,1,60.52,45.79,60.73,14.94,98.6,1.4,899.5,10,010
JAMMU & KASHMIR,11,Ganderbal,297446.0,158720.0,138726.0,143276.0,90581.0,52695.0,154170.0,68139.0,86031.0,250407.0,133715.0,116692.0,117480.0,74884.0,42596.0,132927.0,58831.0,74096.0,47039.0,25005.0,22034.0,25796.0,15697.0,10099.0,21243.0,9308.0,11935.0,1,48.17,46.92,54.84,7.92,15.81,84.19,874.0,11,011
JAMMU & KASHMIR,12,Pulwama,560440.0,293064.0,267376.0,293958.0,178326.0,115632.0,266482.0,114738.0,151744.0,479978.0,248096.0,231882.0,245179.0,147229.0,97950.0,234799.0,100867.0,133932.0,80462.0,44968.0,35494.0,48779.0,31097.0,17682.0,31683.0,13871.0,17812.0,1,52.45,51.08,60.62,9.54,14.36,85.64,912.3,12,012
