State,TFR_2011,MCPR_Pct
Bihar,3.0,44.4
Meghalaya,2.9,22.5
Uttar Pradesh,2.4,44.5
Jharkhand,2.3,49.5
Manipur,2.2,18.2
Madhya Pradesh,2.0,65.5
Rajasthan,2.0,62.1
Assam,1.9,45.3
Gujarat,1.9,53.6
Haryana,1.9,60.5
Mizoram,1.9,30.8
Uttarakhand,1.9,57.8
Arunachal Pradesh,1.8,47.2
Chhattisgarh,1.8,61.7
Dadra and Nagar Haveli,1.8,59.8
Kerala,1.8,52.8
Odisha,1.8,48.8
Tamil Nadu,1.8,65.5
Telangana,1.8,66.7
Andhra Pradesh,1.7,70.8
Himachal Pradesh,1.7,63.4
Karnataka,1.7,68.2
Maharashtra,1.7,63.8
Nagaland,1.7,45.3
Tripura,1.7,49.1
Delhi,1.6,57.7
Punjab,1.6,50.5
West Bengal,1.6,60.7
Puducherry,1.5,62.1
Chandigarh,1.4,55.6
Jammu and Kashmir,1.4,52.5
Lakshadweep,1.4,30.1
Andaman and Nicobar Islands,1.3,57.7
Goa,1.3,60.1
Ladakh,1.3,48.0
Sikkim,1.1,54.9
