State,Year,TFR
Andhra Pradesh,1971,4.6
Andhra Pradesh,1972,4.7
Andhra Pradesh,1973,4.2
Andhra Pradesh,1974,4.6
Andhra Pradesh,1975,4.6
Andhra Pradesh,1976,4.4
Andhra Pradesh,1977,4.1
Andhra Pradesh,1978,4.4
Andhra Pradesh,1979,4.0
Andhra Pradesh,1980,3.8
Andhra Pradesh,1981,4.0
Andhra Pradesh,1982,3.9
Andhra Pradesh,1983,3.9
Andhra Pradesh,1984,4.0
Andhra Pradesh,1985,3.7
Andhra Pradesh,1986,3.8
Andhra Pradesh,1987,3.6
Andhra Pradesh,1988,3.3
Andhra Pradesh,1989,3.1
Andhra Pradesh,1990,3.1
Andhra Pradesh,1991,3.0
Andhra Pradesh,1992,2.8
Andhra Pradesh,1993,2.7
Andhra Pradesh,1994,2.7
Andhra Pradesh,1995,2.7
Andhra Pradesh,1996,2.5
Andhra Pradesh,1997,2.5
Andhra Pradesh,1998,2.4
Andhra Pradesh,1999,2.4
Andhra Pradesh,2000,2.3
Andhra Pradesh,2001,2.3
Andhra Pradesh,2002,2.2
Andhra Pradesh,2003,2.2
Andhra Pradesh,2004,2.1
Andhra Pradesh,2005,2.0
Andhra Pradesh,2006,2.0
Andhra Pradesh,2007,1.9
Andhra Pradesh,2008,1.8
Andhra Pradesh,2009,1.9
Andhra Pradesh,2010,1.8
Assam,1971,5.7
Assam,1972,5.1
Assam,1973,4.8
Assam,1974,4.6
Assam,1975,4.1
Assam,1976,4.5
Assam,1977,4.0
Assam,1978,4.0
Assam,1979,4.3
Assam,1980,4.0
Assam,1981,4.1
Assam,1982,4.2
Assam,1983,4.2
Assam,1984,4.3
Assam,1985,4.1
Assam,1986,4.0
Assam,1987,4.0
Assam,1988,3.8
Assam,1989,3.4
Assam,1990,3.4
Assam,1991,3.5
Assam,1992,3.4
Assam,1993,3.3
Assam,1994,3.8
Assam,1995,3.5
Assam,1996,3.2
Assam,1997,3.2
Assam,1998,3.2
Assam,1999,3.2
Assam,2000,3.1
Assam,2001,3.0
Assam,2002,3.0
Assam,2003,2.9
Assam,2004,2.9
Assam,2005,2.9
Assam,2006,2.7
Assam,2007,2.7
Assam,2008,2.6
Assam,2009,2.6
Assam,2010,2.5
Bihar,1971,
Bihar,1972,
Bihar,1973,
Bihar,1974,
Bihar,1975,
Bihar,1976,
Bihar,1977,
Bihar,1978,
Bihar,1979,
Bihar,1980,
Bihar,1981,5.7
Bihar,1982,5.6
Bihar,1983,5.5
Bihar,1984,5.9
Bihar,1985,5.4
Bihar,1986,5.2
Bihar,1987,5.3
Bihar,1988,5.4
Bihar,1989,5.1
Bihar,1990,4.8
Bihar,1991,4.4
Bihar,1992,4.6
Bihar,1993,4.6
Bihar,1994,4.6
Bihar,1995,4.5
Bihar,1996,4.5
Bihar,1997,4.4
Bihar,1998,4.3
Bihar,1999,4.5
Bihar,2000,4.5
Bihar,2001,4.4
Bihar,2002,4.3
Bihar,2003,4.2
Bihar,2004,4.3
Bihar,2005,4.3
Bihar,2006,4.2
Bihar,2007,3.9
Bihar,2008,3.9
Bihar,2009,3.9
Bihar,2010,3.7
Chhattisgarh,1971,
Chhattisgarh,1972,
Chhattisgarh,1973,
Chhattisgarh,1974,
Chhattisgarh,1975,
Chhattisgarh,1976,
Chhattisgarh,1977,
Chhattisgarh,1978,
Chhattisgarh,1979,
Chhattisgarh,1980,
Chhattisgarh,1981,
Chhattisgarh,1982,
Chhattisgarh,1983,
Chhattisgarh,1984,
Chhattisgarh,1985,
Chhattisgarh,1986,
Chhattisgarh,1987,
Chhattisgarh,1988,
Chhattisgarh,1989,
Chhattisgarh,1990,
Chhattisgarh,1991,
Chhattisgarh,1992,
Chhattisgarh,1993,
Chhattisgarh,1994,
Chhattisgarh,1995,
Chhattisgarh,1996,
Chhattisgarh,1997,
Chhattisgarh,1998,
Chhattisgarh,1999,
Chhattisgarh,2000,
Chhattisgarh,2001,
Chhattisgarh,2002,
Chhattisgarh,2003,
Chhattisgarh,2004,3.3
Chhattisgarh,2005,3.4
Chhattisgarh,2006,3.3
Chhattisgarh,2007,3.1
Chhattisgarh,2008,3.0
Chhattisgarh,2009,3.0
Chhattisgarh,2010,2.8
Delhi,1971,
Delhi,1972,
Delhi,1973,
Delhi,1974,
Delhi,1975,
Delhi,1976,
Delhi,1977,
Delhi,1978,
Delhi,1979,
Delhi,1980,
Delhi,1981,
Delhi,1982,
Delhi,1983,
Delhi,1984,
Delhi,1985,
Delhi,1986,
Delhi,1987,
Delhi,1988,
Delhi,1989,
Delhi,1990,
Delhi,1991,
Delhi,1992,
Delhi,1993,
Delhi,1994,
Delhi,1995,
Delhi,1996,
Delhi,1997,
Delhi,1998,
Delhi,1999,
Delhi,2000,
Delhi,2001,
Delhi,2002,
Delhi,2003,
Delhi,2004,2.1
Delhi,2005,2.1
Delhi,2006,2.1
Delhi,2007,2.0
Delhi,2008,2.0
