state_name,date,year,fuel_type,registrations
Andaman & Nicobar Islands,2019-01-01,2019,Diesel,72.0
Andaman & Nicobar Islands,2019-01-01,2019,Petrol,798.0
Andaman & Nicobar Islands,2019-02-01,2019,Diesel,73.0
Andaman & Nicobar Islands,2019-02-01,2019,Not Applicable,1.0
Andaman & Nicobar Islands,2019-02-01,2019,Petrol,674.0
Andaman & Nicobar Islands,2019-03-01,2019,Diesel,61.0
Andaman & Nicobar Islands,2019-03-01,2019,Petrol,756.0
Andaman & Nicobar Islands,2019-04-01,2019,Diesel,86.0
Andaman & Nicobar Islands,2019-04-01,2019,Petrol,667.0
Andaman & Nicobar Islands,2019-05-01,2019,Diesel,34.0
Andaman & Nicobar Islands,2019-05-01,2019,Electric(Bov),2.0
Andaman & Nicobar Islands,2019-05-01,2019,Not Applicable,17.0
Andaman & Nicobar Islands,2019-05-01,2019,Petrol,708.0
Andaman & Nicobar Islands,2019-06-01,2019,Diesel,34.0
Andaman & Nicobar Islands,2019-06-01,2019,Not Applicable,10.0
Andaman & Nicobar Islands,2019-06-01,2019,Petrol,625.0
Andaman & Nicobar Islands,2019-07-01,2019,Diesel,42.0
Andaman & Nicobar Islands,2019-07-01,2019,Petrol,781.0
Andaman & Nicobar Islands,2019-08-01,2019,Diesel,53.0
Andaman & Nicobar Islands,2019-08-01,2019,Not Applicable,10.0
Andaman & Nicobar Islands,2019-08-01,2019,Petrol,654.0
Andaman & Nicobar Islands,2019-08-01,2019,Petrol/Lpg,1.0
Andaman & Nicobar Islands,2019-09-01,2019,Diesel,27.0
Andaman & Nicobar Islands,2019-09-01,2019,Petrol,671.0
Andaman & Nicobar Islands,2019-10-01,2019,Diesel,44.0
Andaman & Nicobar Islands,2019-10-01,2019,Petrol,796.0
Andaman & Nicobar Islands,2019-11-01,2019,Diesel,35.0
Andaman & Nicobar Islands,2019-11-01,2019,Petrol,668.0
Andaman & Nicobar Islands,2019-12-01,2019,Diesel,57.0
Andaman & Nicobar Islands,2019-12-01,2019,Petrol,712.0
Andaman & Nicobar Islands,2020-01-01,2020,Diesel,51.0
Andaman & Nicobar Islands,2020-01-01,2020,Petrol,824.0
Andaman & Nicobar Islands,2020-02-01,2020,Diesel,56.0
