Series Name,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population ages 15-19, female",61230450,61778230,62178615,62398981,62395896,62098786,61577235,61048752,60645954,60339330
"Population ages 15-19, female (% of female population)",9.42692615931307,9.39966975007567,9.35566992639403,9.28999692030831,9.19693578477911,9.07505769354203,8.92563716908657,8.769024712769,8.63149534613086,8.50940262525223
"Population ages 15-19, male",67623565,68193087,68584741,68792966,68749854,68378662,67789019,67199760,66730580,66369850
"Population ages 15-19, male (% of male population)",9.738176864659,9.70831912739719,9.65914029860751,9.58986039058127,9.49353541205569,9.36791389939894,9.21633172870289,9.05799642084931,8.91734470582063,8.79332390685644
"Population ages 20-24, female (% of female population)",9.04510751016195,8.99738849441541,8.951609737345,8.9070673440643,8.87970796304834,8.88512522537692,8.8852969276531,8.85469143338482,8.80073845384252,8.71051078474726
"Population ages 20-24, male",64427370,64992218,65520926,65991270,66502014,67118716,67642188,67982582,68155217,68036933
"Population ages 20-24, male (% of male population)",9.27790672709696,9.25262693224628,9.22764747189335,9.19929904028085,9.18313543313787,9.19530061058965,9.1963691562388,9.16351470627055,9.10772194761183,9.01419529346668
"Population ages 20-24, female",58750434,59134284,59493195,59826923,60243689,60799116,61298931,61645152,61835076,61765368
"Population ages 25-29, female",56039606,56593383,57071892,57450398,57840211,58239306,58555075,58856179,59211688,59648619
"Population ages 25-29, female (% of female population)",8.62775339795044,8.61078587456369,8.58728968686683,8.55324890984778,8.52544382638682,8.51103687347962,8.48757417243293,8.45408424364183,8.42736201835469,8.41199454920308
"Population ages 25-29, male",60928394,61528594,62083691,62598774,63185626,63786666,64287447,64763212,65258361,65794157
"Population ages 25-29, male (% of male population)",8.77403426408467,8.75952751093805,8.74356413512441,8.72637913082288,8.72518178149608,8.73880794425554,8.74027159979119,8.72956907678672,8.7206091838683,8.7170504270072
"Population ages 30-34, female",51330732,52415662,53371842,54201524,54935788,55548766,56041315,56475213,56880627,57303129
"Population ages 30-34, female (% of female population)",7.90278391803466,7.97513797063716,8.03056377341907,8.06955464547153,8.09734200986185,8.11784398257103,8.12320404072201,8.1120829875758,8.09559152591286,8.08121992958284
"Population ages 30-34, male",55871101,57007531,58008072,58853778,59595633,60236182,60778165,61296086,61846646,62475100
"Population ages 30-34, male (% of male population)",8.04575538593707,8.11588577019845,8.16957376962546,8.204320101353,8.22944654071049,8.25238976935113,8.26316331720342,8.2622278968137,8.26469461846743,8.27730950745326
"Population ages 35-39, female",45194423,46276897,47428167,48603778,49741493,50846894,51884187,52815123,53665702,54419838
"Population ages 35-39, female (% of female population)",6.95804920134177,7.04111381725031,7.13625210368175,7.23615894171844,7.33172118181574,7.43071686759571,7.52062711994489,7.58634873630355,7.63802414385068,7.67460149003312
"Population ages 35-39, male",48846263,50072775,51357720,52655474,53887018,55044608,56125722,57104699,57979905,58751434
"Population ages 35-39, male (% of male population)",7.03413893941732,7.12861819240132,7.23297071132194,7.34026562156202,7.44115485557984,7.54114123287144,7.63063523714842,7.69726212613417,7.74797405881562,7.78396191580418
"Population ages 40-44, female",40216338,41081344,41890672,42701924,43638105,44646286,45685257,46820958,48012517,49166660
"Population ages 40-44, female (% of female population)",6.19163257372722,6.25060092834349,6.3030561512691,6.35748753521302,6.43210324050768,6.52456589493356,6.62209050951466,6.72534856659611,6.8334289232633,6.93376789476727
"Population ages 40-44, male",42791419,43779615,44714951,45655208,46734880,47879391,49042941,50308226,51622180,52873264
"Population ages 40-44, male (% of male population)",6.16220698692452,6.23269152535064,6.29743553532352,6.36441622840084,6.45352985086206,6.55950266653957,6.66768777413941,6.78115121896051,6.89837817946598,7.00516485665394
"Population ages 45-49, female",35352548,36151680,36968547,37828159,38698224,39534514,40351898,41153460,41973609,42919098
"Population ages 45-49, female (% of female population)",5.44281259166042,5.50054368521752,5.56245141978466,5.63187847242239,5.7039822156412,5.77753638269426,5.84901879882733,5.9112708205251,5.97393543732174,6.05270035259434
"Population ages 45-49, male",37084625,37920627,38790269,39720245,40676622,41599128,42517134,43441588,44391111,45480453
"Population ages 45-49, male (% of male population)",5.34039635265832,5.39857582018344,5.46303215845279,5.53707201690097,5.61695663515628,5.69910328060505,5.78046446882316,5.85558269178047,5.93207547677109,6.02569314625389
"Population ages 50-54, female",31067442,31709531,32371094,33040553,33728260,34428137,35179011,36015162,36894343,37771682
